VPVS_RATIO,P_IMPEDANCE,PHI
1.6618,13387036.0,0.0707
1.6745,13525164.0,0.0754
1.6893,13700044.0,0.0807
1.6962,13782461.0,0.0831
1.7215,13870490.0,0.0851
1.764,14092463.0,0.0883
1.7652,14076474.0,0.0882
1.7678,14040552.0,0.08800000000000001
1.7738,14011398.0,0.0876
1.7741,13991374.0,0.0886
1.7742,13989228.0,0.0887
1.7747,13964861.0,0.0902
1.7928,13831529.0,0.0922
1.8097,13675986.0,0.0941
1.8215,13567304.0,0.0955
1.7996,13446418.0,0.0944
1.7647,13180432.0,0.0926
1.7686,13175044.0,0.0923
1.7922,13142135.0,0.0905
1.8374,13039010.0,0.087
1.8339,13006172.0,0.0862
1.8337,13005038.0,0.0862
1.8278,12965534.0,0.0848
1.8262,12993425.0,0.0848
1.8249,13031296.0,0.0848
1.8235,13072333.0,0.0848
1.8241,13093637.0,0.0832
1.825,13118033.0,0.0807
1.8251,13118428.0,0.0807
1.8316,13117778.0,0.0776
1.8423,13102662.0,0.0727
1.8383,13024193.0,0.0701
1.8374,13004682.0,0.0694
1.8293,12868891.0,0.0641
1.8238,12898278.0,0.0625
1.8203,12934919.0,0.0614
1.8145,12994891.0,0.0597
1.8002,13041672.0,0.0608
1.7793,13121841.0,0.0622
1.7765,13132512.0,0.0624
1.7563,13116556.0,0.065
1.7232,13070899.0,0.0691
1.7187,13054845.0,0.0704
1.7161,13045590.0,0.0711
1.7044,12982002.0,0.0744
1.7039,12930409.0,0.0766
1.7037,12906556.0,0.0776
1.7032,12845404.0,0.0801
1.7429,12854496.0,0.0813
1.7942,12867656.0,0.0827
1.8085,12871349.0,0.0831
1.8352,12927367.0,0.083
1.8796,13020700.0,0.0828
1.8777,13008387.0,0.0816
1.8755,12994370.0,0.0802
1.869,12954120.0,0.0759
1.8382,13008443.0,0.07
1.8291,13025244.0,0.0683
1.787,13103313.0,0.0603
1.7815,13183680.0,0.0547
1.7752,13257310.0,0.0484
1.7723,13292304.0,0.0454
1.7684,13428707.0,0.0404
1.7619999999999998,13619521.0,0.0321
1.7646,13655419.0,0.031
1.7709,13740220.0,0.0283
1.7862,13939631.0,0.0221
1.776,13807484.0,0.0241
1.7747,13795545.0,0.0243
1.7595,13653542.0,0.0273
1.739,13442086.0,0.0364
1.72,13285040.0,0.045
1.7066,13173559.0,0.0512
1.6901,13009263.0,0.0598
1.6639,12774575.0,0.0738
1.6644,12780238.0,0.0745
1.6675,12817023.0,0.0791
1.6735,12865745.0,0.0877
1.6845,12950275.0,0.08800000000000001
1.6849,12953865.0,0.0881
1.704,13065381.0,0.0886
1.7115,13130142.0,0.0857
1.7174,13162858.0,0.0834
1.7239,13198885.0,0.0809
1.7398,13300497.0,0.0792
1.7661,13439469.0,0.0766
1.7666,13442358.0,0.0766
1.7731,13464837.0,0.0771
1.784,13498605.0,0.078
1.7754,13360558.0,0.0792
1.7732,13324927.0,0.0795
1.756,13069640.0,0.08199999999999999
1.7352,12891649.0,0.0824
1.7225,12797317.0,0.0827
1.702,12644133.0,0.0832
1.6769999999999998,12420254.0,0.0827
1.6425,12133684.0,0.0819
1.6378,12095197.0,0.0818
1.632,12014796.0,0.0805
1.6225,11893466.0,0.0784
1.6285,11968171.0,0.076
1.6321,12013064.0,0.0746
1.6481,12189749.0,0.0683
1.6749,12565278.0,0.0649
1.6876,12730980.0,0.0633
1.7227,13190074.0,0.0591
1.726,13432940.0,0.057999999999999996
1.7304,13731748.0,0.0567
1.7317,13820220.0,0.0563
1.7303,13829729.0,0.0585
1.7280000000000002,13848218.0,0.0623
1.7304,13810123.0,0.0652
1.7331,13765553.0,0.0686
1.7413,13675599.0,0.079
1.7454,13554195.0,0.086
1.7465,13531319.0,0.0881
1.7518,13424050.0,0.0977
1.7605,13436157.0,0.1007
1.7701,13467451.0,0.1041
1.7747,13482406.0,0.1057
1.7678,13393178.0,0.1031
1.7567,13204407.0,0.0989
1.7579,13190751.0,0.098
1.7606,13157954.0,0.0958
1.7668,13006032.0,0.0906
1.7796,12922652.0,0.0869
1.7811,12911051.0,0.0865
1.8004,12764119.0,0.0808
1.7948,12720059.0,0.0775
1.7896,12688621.0,0.0743
1.7857,12665344.0,0.07200000000000001
1.7865,12689615.0,0.0703
1.7877,12737737.0,0.0676
1.7861,12734294.0,0.0677
1.7748,12710751.0,0.0684
1.7536,12659639.0,0.0698
1.7601,12792449.0,0.0721
1.7604,12799140.0,0.0722
1.7719999999999998,13038538.0,0.0761
1.7739,13042611.0,0.0773
1.7754,13053878.0,0.0783
1.7771,13066395.0,0.0794
1.7736,12969189.0,0.0787
1.7681,12828840.0,0.0775
1.768,12825366.0,0.0775
1.7641,12772368.0,0.0765
1.7577,12696586.0,0.075
1.7589,12699322.0,0.0755
1.7592,12700038.0,0.0756
1.7616,12719787.0,0.0767
1.7677,12717656.0,0.0802
1.7715,12718107.0,0.0823
1.7778,12718839.0,0.0859
1.7890000000000001,12682274.0,0.0901
1.8051,12620906.0,0.096
1.8074,12612142.0,0.0968
1.811,12550571.0,0.0977
1.8167,12436518.0,0.099
1.8161,12411166.0,0.0982
1.8157,12395619.0,0.0977
1.814,12338820.0,0.0956
1.8121,12395787.0,0.0918
1.8112,12427823.0,0.0901
1.8088,12514644.0,0.0856
1.791,12595751.0,0.0822
1.768,12706453.0,0.0779
1.7612,12739229.0,0.0767
1.7529,12754150.0,0.0779
1.7392,12751576.0,0.0798
1.7393,12741884.0,0.0804
1.7394,12730238.0,0.0813
1.7398,12677681.0,0.0837
1.75,12594160.0,0.0852
1.7528,12574385.0,0.0857
1.7664,12478446.0,0.0878
1.77,12358141.0,0.0904
1.774,12250373.0,0.0932
1.7759,12198571.0,0.0946
1.794,12171589.0,0.0963
1.8236,12093039.0,0.099
1.8182,12081367.0,0.0985
1.8049,12052355.0,0.0974
1.7745,11913138.0,0.0949
1.7805,11925543.0,0.0927
1.7812,11922793.0,0.0924
1.7905,11885083.0,0.08900000000000001
1.8008,11860349.0,0.0881
1.8106,11839951.0,0.0873
1.818,11824497.0,0.0867
1.8176,11769114.0,0.0865
1.817,11728636.0,0.0862
1.817,11722252.0,0.086
1.8168,11675181.0,0.085
1.8165,11651765.0,0.083
1.8167,11599058.0,0.0821
1.8167,11596057.0,0.0821
1.8171,11551649.0,0.0805
1.8157,11542459.0,0.0806
1.8145,11532632.0,0.0807
1.8132,11521612.0,0.0808
1.8151,11546134.0,0.0825
1.8183,11561800.0,0.0853
1.8184,11562250.0,0.0853
1.8119,11634568.0,0.0889
1.8012,11733710.0,0.0948
1.8003,11771107.0,0.0973
1.8001,11781749.0,0.098
1.7981,11874458.0,0.1032
1.7965,11952951.0,0.1033
1.7955,12007498.0,0.1033
1.7937,12102206.0,0.1034
1.7971,12165540.0,0.102
1.8019,12261784.0,0.1001
1.8027,12276270.0,0.0998
1.8221,12367272.0,0.0979
1.8547,12512642.0,0.0949
1.8496,12496642.0,0.0939
1.8464,12486512.0,0.0933
1.8329,12429393.0,0.0907
1.8326,12371975.0,0.0909
1.8325,12346191.0,0.091
1.8321,12275832.0,0.0912
1.8377,12238158.0,0.0922
1.8448,12196248.0,0.0935
1.8469,12183693.0,0.0939
1.8403,12159444.0,0.0922
